image_id,x_min,y_min,x_max,y_max,color,position,texture,lighting,description
ISIC_0024719,242,48,517,323,light,middle-center,rough,moderately lit,"Located near the middle-center, a light rough lesion is seen, moderately lit."
ISIC_0024726,209,59,527,450,light,middle-center,irregular,under bright light,"Located near the middle-center, a light irregular lesion is seen, under bright light."
ISIC_0024736,120,72,487,351,light,middle-center,irregular,moderately lit,"A irregular lesion appears at the middle-center, exhibiting light pigmentation, moderately lit."
ISIC_0024751,48,0,524,439,brownish,middle-center,flat,in natural lighting,"The lesion, brownish and flat, is located toward the middle-center, in natural lighting."
ISIC_0024768,0,21,600,450,light,middle-center,smooth,slightly shadowed,"A light, smooth patch is visible near the middle-center, slightly shadowed."
ISIC_0024771,0,0,600,450,light,middle-center,irregular,under bright light,"The lesion, light and irregular, is located toward the middle-center, under bright light."
ISIC_0024802,119,65,477,428,light,middle-center,irregular,under dim light,"A irregular lesion appears at the middle-center, exhibiting light pigmentation, under dim light."
ISIC_0024819,191,68,396,333,light,middle-center,smooth,under bright light,"A smooth lesion with light tone is seen around the middle-center, under bright light."
ISIC_0024831,0,0,331,450,light,middle-left,irregular,under dim light,"The lesion, light and irregular, is located toward the middle-left, under dim light."
ISIC_0024843,48,61,510,349,light,middle-center,smooth,slightly shadowed,"A smooth and light lesion is observed at the middle-center, slightly shadowed."
ISIC_0024867,169,136,321,313,brownish,middle-center,scaly,under bright light,A scaly brownish lesion around the middle-center under under bright light.
ISIC_0024869,0,247,248,450,light,bottom-left,grainy,in natural lighting,"A light lesion with grainy surface appears at the bottom-left, in natural lighting."
ISIC_0024884,234,113,435,325,brownish,middle-center,bumpy,moderately lit,"A bumpy lesion with brownish tone is seen around the middle-center, moderately lit."
ISIC_0024887,174,0,480,450,light,middle-center,scaly,under dim light,"The middle-center region displays a scaly, light mark, under dim light."
ISIC_0024890,0,137,457,407,light,middle-center,grainy,under dim light,"A light lesion with grainy surface appears at the middle-center, under dim light."
ISIC_0024893,0,0,151,450,dark,middle-left,flat,under dim light,"The middle-left region contains a dark flat pigmentation, under dim light."
ISIC_0024900,178,89,472,431,light,middle-center,grainy,under bright light,"Notable light, grainy pigmentation located at the middle-center, under bright light."
ISIC_0024909,0,323,88,450,brownish,bottom-left,grainy,well illuminated,"A brownish lesion with grainy surface appears at the bottom-left, well illuminated."
ISIC_0024929,35,0,551,438,brownish,middle-center,bumpy,under dim light,"Notable brownish, bumpy pigmentation located at the middle-center, under dim light."
ISIC_0024953,0,91,495,450,light,middle-center,scaly,under dim light,"The middle-center region displays a scaly, light mark, under dim light."
ISIC_0024954,0,0,600,450,light,middle-center,irregular,in natural lighting,"The lesion at the middle-center looks irregular and light, in natural lighting."
ISIC_0024957,72,211,343,450,light,bottom-center,rough,well illuminated,A rough light lesion around the bottom-center under well illuminated.
ISIC_0024968,186,201,340,359,brownish,middle-center,scaly,in natural lighting,"At the middle-center, a brownish scaly lesion can be observed, in natural lighting."
ISIC_0024975,0,0,590,450,brownish,middle-center,smooth,under dim light,"The lesion, brownish and smooth, is located toward the middle-center, under dim light."
ISIC_0024985,122,55,319,324,light,middle-center,bumpy,under bright light,"A bumpy lesion appears at the middle-center, exhibiting light pigmentation, under bright light."
ISIC_0024997,500,0,600,139,brownish,top-right,irregular,well illuminated,"An brownish irregular lesion located at the top-right, well illuminated."
ISIC_0025007,172,164,330,336,light,middle-center,irregular,under dim light,"A light growth at the middle-center area, appearing irregular and under dim light."
ISIC_0025015,200,155,327,329,light,middle-center,flat,well illuminated,A flat light lesion around the middle-center under well illuminated.
ISIC_0025028,151,13,482,366,brownish,middle-center,irregular,under bright light,"An brownish irregular lesion located at the middle-center, under bright light."
ISIC_0025039,166,54,399,333,light,middle-center,rough,in natural lighting,"The middle-center region displays a rough, light mark, in natural lighting."
ISIC_0025045,188,98,450,317,brownish,middle-center,smooth,slightly shadowed,"The middle-center region contains a brownish smooth pigmentation, slightly shadowed."
ISIC_0025053,169,85,529,450,light,middle-center,irregular,in natural lighting,"The middle-center region displays a irregular, light mark, in natural lighting."
ISIC_0025063,0,250,246,450,light,bottom-left,grainy,slightly shadowed,"A light lesion with grainy surface appears at the bottom-left, slightly shadowed."
ISIC_0025072,125,101,481,394,light,middle-center,irregular,moderately lit,"A irregular and light lesion is observed at the middle-center, moderately lit."
ISIC_0025082,38,59,434,275,light,middle-center,rough,under bright light,"At the middle-center, a light rough lesion can be observed, under bright light."
ISIC_0025129,379,0,600,450,light,middle-right,smooth,under dim light,"A light lesion with smooth surface appears at the middle-right, under dim light."
ISIC_0025136,0,5,600,444,light,middle-center,scaly,moderately lit,"The lesion, light and scaly, is located toward the middle-center, moderately lit."
ISIC_0025140,203,95,448,380,brownish,middle-center,rough,moderately lit,"Notable brownish, rough pigmentation located at the middle-center, moderately lit."
ISIC_0025147,164,129,329,337,light,middle-center,flat,under dim light,"The lesion, light and flat, is located toward the middle-center, under dim light."
ISIC_0025175,195,151,464,450,light,middle-center,grainy,under dim light,"A light, grainy patch is visible near the middle-center, under dim light."
ISIC_0025190,0,19,509,450,light,middle-center,scaly,in natural lighting,"At the middle-center of the image lies a scaly, light lesion, in natural lighting."
ISIC_0025204,24,0,458,428,light,middle-center,flat,under dim light,"A light, flat patch is visible near the middle-center, under dim light."
ISIC_0025212,0,0,600,450,light,middle-center,grainy,well illuminated,"At the middle-center of the image lies a grainy, light lesion, well illuminated."
ISIC_0025233,222,95,401,295,brownish,middle-center,bumpy,in natural lighting,"The lesion at the middle-center looks bumpy and brownish, in natural lighting."
ISIC_0025236,0,0,600,450,light,middle-center,smooth,moderately lit,"A smooth and light lesion is observed at the middle-center, moderately lit."
ISIC_0025239,153,109,365,319,brownish,middle-center,grainy,moderately lit,"Notable brownish, grainy pigmentation located at the middle-center, moderately lit."
ISIC_0025267,112,72,427,352,light,middle-center,smooth,under dim light,"Notable light, smooth pigmentation located at the middle-center, under dim light."
ISIC_0025280,236,85,462,260,light,middle-center,grainy,under bright light,"A grainy lesion with light tone is seen around the middle-center, under bright light."
ISIC_0025282,82,0,328,450,light,middle-center,bumpy,moderately lit,"The middle-center area reveals a bumpy light patch, moderately lit."
ISIC_0025289,219,106,444,384,light,middle-center,grainy,well illuminated,"At the middle-center of the image lies a grainy, light lesion, well illuminated."
ISIC_0025298,0,95,450,405,light,middle-center,smooth,well illuminated,"A smooth lesion with light tone is seen around the middle-center, well illuminated."
ISIC_0025305,98,53,487,415,light,middle-center,irregular,under dim light,"The middle-center area reveals a irregular light patch, under dim light."
ISIC_0025307,120,1,495,450,light,middle-center,flat,under dim light,"A light, flat patch is visible near the middle-center, under dim light."
ISIC_0025315,0,211,490,450,light,bottom-center,grainy,well illuminated,"A light growth at the bottom-center area, appearing grainy and well illuminated."
ISIC_0025328,50,51,399,408,brownish,middle-center,rough,under bright light,"The middle-center region contains a brownish rough pigmentation, under bright light."
ISIC_0025344,168,30,421,407,light,middle-center,irregular,under bright light,A irregular light lesion around the middle-center under under bright light.
ISIC_0025351,86,28,544,348,light,middle-center,scaly,well illuminated,"A scaly and light lesion is observed at the middle-center, well illuminated."
ISIC_0025364,110,201,268,379,light,middle-left,irregular,in natural lighting,"A light lesion with irregular surface appears at the middle-left, in natural lighting."
ISIC_0025368,0,0,214,450,light,middle-left,rough,well illuminated,"A light rough spot positioned at the middle-left, well illuminated."
ISIC_0025371,131,0,493,297,brownish,top-center,bumpy,slightly shadowed,"A brownish growth at the top-center area, appearing bumpy and slightly shadowed."
ISIC_0025376,388,0,600,450,light,middle-right,flat,moderately lit,"A light lesion with flat surface appears at the middle-right, moderately lit."
ISIC_0025383,90,122,475,396,pale,middle-center,rough,slightly shadowed,"The middle-center region displays a rough, pale mark, slightly shadowed."
ISIC_0025389,0,0,533,450,light,middle-center,rough,well illuminated,"Located near the middle-center, a light rough lesion is seen, well illuminated."
ISIC_0025426,0,0,600,450,light,middle-center,grainy,under bright light,"A light lesion with grainy surface appears at the middle-center, under bright light."
ISIC_0025433,161,99,450,316,light,middle-center,flat,moderately lit,"A light lesion located at the middle-center, with flat texture and moderately lit."
ISIC_0025443,60,82,600,350,light,middle-center,rough,well illuminated,"The middle-center area reveals a rough light patch, well illuminated."
ISIC_0025448,16,113,315,259,light,middle-left,smooth,slightly shadowed,"A smooth lesion appears at the middle-left, exhibiting light pigmentation, slightly shadowed."
ISIC_0025485,291,0,600,450,light,middle-right,irregular,in natural lighting,"A light irregularly shaped lesion appears at the middle-right, in natural lighting."
ISIC_0025521,23,104,396,450,light,middle-center,rough,under bright light,"A rough lesion appears at the middle-center, exhibiting light pigmentation, under bright light."
ISIC_0025522,0,0,504,450,light,middle-center,flat,under bright light,"A flat lesion appears at the middle-center, exhibiting light pigmentation, under bright light."
ISIC_0025531,157,0,600,450,light,middle-center,smooth,well illuminated,"A light growth at the middle-center area, appearing smooth and well illuminated."
ISIC_0025535,234,46,479,385,light,middle-center,scaly,slightly shadowed,"The middle-center area reveals a scaly light patch, slightly shadowed."
ISIC_0025543,0,54,600,375,light,middle-center,irregular,under bright light,"Located near the middle-center, a light irregular lesion is seen, under bright light."
ISIC_0025558,136,107,595,409,brownish,middle-center,irregular,slightly shadowed,"The middle-center region displays a irregular, brownish mark, slightly shadowed."
ISIC_0025564,0,0,115,341,light,middle-left,scaly,under bright light,"The lesion at the middle-left looks scaly and light, under bright light."
ISIC_0025577,202,0,600,450,light,middle-right,smooth,in natural lighting,"At the middle-right, a light smooth lesion can be observed, in natural lighting."
ISIC_0025585,128,239,328,398,light,bottom-center,smooth,under bright light,"A light, smooth patch is visible near the bottom-center, under bright light."
ISIC_0025595,156,169,384,421,brownish,middle-center,grainy,under bright light,"A grainy lesion appears at the middle-center, exhibiting brownish pigmentation, under bright light."
ISIC_0025617,78,5,528,417,light,middle-center,irregular,slightly shadowed,"Located near the middle-center, a light irregular lesion is seen, slightly shadowed."
ISIC_0025636,56,65,501,405,brownish,middle-center,flat,slightly shadowed,"At the middle-center of the image lies a flat, brownish lesion, slightly shadowed."
ISIC_0025637,140,98,403,345,light,middle-center,flat,well illuminated,"The lesion, light and flat, is located toward the middle-center, well illuminated."
ISIC_0025659,76,42,392,446,light,middle-center,smooth,moderately lit,"The lesion, light and smooth, is located toward the middle-center, moderately lit."
ISIC_0025664,67,57,473,339,light,middle-center,irregular,in natural lighting,"At the middle-center of the image lies a irregular, light lesion, in natural lighting."
ISIC_0025676,100,0,430,450,brownish,middle-center,rough,under bright light,"A brownish lesion located at the middle-center, with rough texture and under bright light."
ISIC_0025685,0,32,585,413,light,middle-center,scaly,slightly shadowed,"At the middle-center of the image lies a scaly, light lesion, slightly shadowed."
ISIC_0025686,0,92,600,450,light,middle-center,rough,under bright light,"Located near the middle-center, a light rough lesion is seen, under bright light."
ISIC_0025707,97,44,264,177,light,top-left,flat,slightly shadowed,"The lesion, light and flat, is located toward the top-left, slightly shadowed."
ISIC_0025722,173,69,374,315,brownish,middle-center,irregular,moderately lit,"A brownish irregularly shaped lesion appears at the middle-center, moderately lit."
ISIC_0025728,0,0,499,450,light,middle-center,smooth,under bright light,"An light smooth lesion located at the middle-center, under bright light."
ISIC_0025747,169,160,371,367,light,middle-center,bumpy,in natural lighting,A bumpy light lesion around the middle-center under in natural lighting.
ISIC_0025751,152,137,411,351,brownish,middle-center,flat,under dim light,"Notable brownish, flat pigmentation located at the middle-center, under dim light."
ISIC_0025765,102,61,403,398,brownish,middle-center,irregular,under dim light,"A brownish lesion located at the middle-center, with irregular texture and under dim light."
ISIC_0025783,59,92,510,357,light,middle-center,bumpy,well illuminated,"At the middle-center, a light bumpy lesion can be observed, well illuminated."
ISIC_0025795,182,137,355,282,brownish,middle-center,scaly,moderately lit,"The middle-center region contains a brownish scaly pigmentation, moderately lit."
ISIC_0025796,76,150,460,395,light,middle-center,smooth,in natural lighting,"A light lesion located at the middle-center, with smooth texture and in natural lighting."
ISIC_0025802,237,158,461,352,light,middle-center,irregular,under dim light,"The middle-center area reveals a irregular light patch, under dim light."
ISIC_0025814,56,19,600,424,light,middle-center,flat,in natural lighting,"A light lesion located at the middle-center, with flat texture and in natural lighting."
ISIC_0025819,503,315,600,450,brownish,bottom-right,grainy,moderately lit,"A grainy and brownish lesion is observed at the bottom-right, moderately lit."
ISIC_0025822,0,10,600,450,light,middle-center,rough,under dim light,"A light rough spot positioned at the middle-center, under dim light."
ISIC_0025827,20,116,526,396,light,middle-center,scaly,slightly shadowed,"A light, scaly patch is visible near the middle-center, slightly shadowed."
ISIC_0025829,108,47,600,303,light,middle-center,irregular,under dim light,"The middle-center area reveals a irregular light patch, under dim light."
ISIC_0025838,0,0,531,427,light,middle-center,rough,well illuminated,"A light rough spot positioned at the middle-center, well illuminated."
ISIC_0025842,0,0,600,450,light,middle-center,irregular,in natural lighting,"Located near the middle-center, a light irregular lesion is seen, in natural lighting."
ISIC_0025858,152,0,412,286,light,top-center,smooth,under dim light,"A light smooth spot positioned at the top-center, under dim light."
ISIC_0025866,224,191,373,302,light,middle-center,grainy,slightly shadowed,"The lesion at the middle-center looks grainy and light, slightly shadowed."
ISIC_0025880,8,21,600,439,brownish,middle-center,bumpy,well illuminated,"The middle-center region contains a brownish bumpy pigmentation, well illuminated."
ISIC_0025886,133,65,448,408,brownish,middle-center,rough,under dim light,"A brownish, rough patch is visible near the middle-center, under dim light."
ISIC_0025952,0,0,411,450,light,middle-center,grainy,under bright light,"The lesion at the middle-center looks grainy and light, under bright light."
ISIC_0025966,8,21,600,450,light,middle-center,smooth,slightly shadowed,"A light irregularly shaped lesion appears at the middle-center, slightly shadowed."
ISIC_0025967,0,0,410,450,light,middle-center,grainy,under dim light,"A grainy lesion with light tone is seen around the middle-center, under dim light."
ISIC_0025975,366,0,600,450,light,middle-right,scaly,well illuminated,"The lesion at the middle-right looks scaly and light, well illuminated."
ISIC_0026005,164,64,405,351,light,middle-center,scaly,under bright light,"The middle-center region displays a scaly, light mark, under bright light."
ISIC_0026030,202,147,461,364,light,middle-center,grainy,slightly shadowed,"A grainy and light lesion is observed at the middle-center, slightly shadowed."
ISIC_0026042,0,0,600,450,light,middle-center,scaly,well illuminated,"The lesion at the middle-center looks scaly and light, well illuminated."
ISIC_0026064,46,0,448,356,light,middle-center,rough,moderately lit,"A light rough spot positioned at the middle-center, moderately lit."
ISIC_0026069,31,44,430,386,light,middle-center,rough,under bright light,"Located near the middle-center, a light rough lesion is seen, under bright light."
ISIC_0026072,0,0,398,450,light,middle-left,scaly,under bright light,"The middle-left region contains a light scaly pigmentation, under bright light."
ISIC_0026079,145,64,395,445,light,middle-center,bumpy,in natural lighting,"A light irregularly shaped lesion appears at the middle-center, in natural lighting."
ISIC_0026084,176,162,384,300,light,middle-center,grainy,slightly shadowed,"Notable light, grainy pigmentation located at the middle-center, slightly shadowed."
ISIC_0026115,160,86,410,360,light,middle-center,grainy,moderately lit,"The lesion, light and grainy, is located toward the middle-center, moderately lit."
ISIC_0026150,233,151,375,308,brownish,middle-center,rough,under bright light,"A brownish rough spot positioned at the middle-center, under bright light."
ISIC_0026168,10,73,543,368,light,middle-center,scaly,under dim light,"The lesion, light and scaly, is located toward the middle-center, under dim light."
ISIC_0026172,128,165,377,405,brownish,middle-center,scaly,under dim light,"A scaly and brownish lesion is observed at the middle-center, under dim light."
ISIC_0026173,37,3,490,450,light,middle-center,flat,slightly shadowed,"The lesion, light and flat, is located toward the middle-center, slightly shadowed."
ISIC_0026182,0,0,227,450,pale,middle-left,irregular,moderately lit,"A pale growth at the middle-left area, appearing irregular and moderately lit."
ISIC_0026183,0,0,600,450,brownish,middle-center,scaly,moderately lit,"At the middle-center of the image lies a scaly, brownish lesion, moderately lit."
ISIC_0026186,314,0,600,450,light,middle-right,rough,slightly shadowed,"A light lesion located at the middle-right, with rough texture and slightly shadowed."
ISIC_0026200,156,81,465,398,light,middle-center,rough,slightly shadowed,"At the middle-center, a light rough lesion can be observed, slightly shadowed."
ISIC_0026203,212,150,412,304,light,middle-center,scaly,in natural lighting,"An light scaly lesion located at the middle-center, in natural lighting."
ISIC_0026214,66,52,498,394,brownish,middle-center,flat,under bright light,"The lesion at the middle-center looks flat and brownish, under bright light."
ISIC_0026219,372,0,600,450,light,middle-right,grainy,slightly shadowed,"A light, grainy patch is visible near the middle-right, slightly shadowed."
ISIC_0026241,187,74,389,287,brownish,middle-center,scaly,under bright light,"A scaly lesion with brownish tone is seen around the middle-center, under bright light."
ISIC_0026244,179,41,446,316,light,middle-center,flat,in natural lighting,"The middle-center area reveals a flat light patch, in natural lighting."
ISIC_0026245,31,52,531,402,light,middle-center,smooth,under dim light,"A light, smooth patch is visible near the middle-center, under dim light."
ISIC_0026249,367,0,600,450,light,middle-right,rough,under bright light,"At the middle-right, a light rough lesion can be observed, under bright light."
ISIC_0026260,211,156,416,329,brownish,middle-center,bumpy,under dim light,"A brownish irregularly shaped lesion appears at the middle-center, under dim light."
ISIC_0026261,143,48,303,287,brownish,middle-center,smooth,under dim light,"A smooth lesion with brownish tone is seen around the middle-center, under dim light."
ISIC_0026264,145,63,411,386,light,middle-center,grainy,well illuminated,"At the middle-center, a light grainy lesion can be observed, well illuminated."
ISIC_0026278,223,215,474,434,light,bottom-center,grainy,moderately lit,"The bottom-center area reveals a grainy light patch, moderately lit."
ISIC_0026287,0,0,600,450,light,middle-center,flat,under dim light,"A light, flat patch is visible near the middle-center, under dim light."
ISIC_0026294,172,63,424,380,brownish,middle-center,grainy,under dim light,"A grainy and brownish lesion is observed at the middle-center, under dim light."
ISIC_0026298,349,0,600,450,light,middle-right,rough,slightly shadowed,"At the middle-right, a light rough lesion can be observed, slightly shadowed."
ISIC_0026302,117,37,520,441,light,middle-center,rough,slightly shadowed,"An light rough lesion located at the middle-center, slightly shadowed."
ISIC_0026311,122,66,600,450,light,middle-center,smooth,well illuminated,"A light growth at the middle-center area, appearing smooth and well illuminated."
ISIC_0026319,534,0,600,113,light,top-right,smooth,under dim light,"An light smooth lesion located at the top-right, under dim light."
ISIC_0026324,156,33,600,450,light,middle-center,flat,under dim light,"The middle-center region contains a light flat pigmentation, under dim light."
ISIC_0026332,144,95,476,334,brownish,middle-center,irregular,well illuminated,"The middle-center region displays a irregular, brownish mark, well illuminated."
ISIC_0026340,0,0,600,450,light,middle-center,irregular,under bright light,"A light irregular spot positioned at the middle-center, under bright light."
ISIC_0026350,85,54,438,446,light,middle-center,smooth,well illuminated,"At the middle-center, a light smooth lesion can be observed, well illuminated."
ISIC_0026353,166,151,352,383,brownish,middle-center,bumpy,in natural lighting,"A bumpy lesion appears at the middle-center, exhibiting brownish pigmentation, in natural lighting."
ISIC_0026360,203,140,405,361,light,middle-center,flat,well illuminated,"A light lesion located at the middle-center, with flat texture and well illuminated."
ISIC_0026373,141,0,600,450,light,middle-center,scaly,moderately lit,"The lesion, light and scaly, is located toward the middle-center, moderately lit."
ISIC_0026400,0,0,194,450,light,middle-left,grainy,under bright light,"The middle-left area reveals a grainy light patch, under bright light."
ISIC_0026403,27,7,583,450,light,middle-center,irregular,well illuminated,"At the middle-center of the image lies a irregular, light lesion, well illuminated."
ISIC_0026404,154,0,600,450,light,middle-center,grainy,moderately lit,"Located near the middle-center, a light grainy lesion is seen, moderately lit."
ISIC_0026415,13,0,366,407,light,middle-left,grainy,in natural lighting,"A light growth at the middle-left area, appearing grainy and in natural lighting."
ISIC_0026435,175,125,355,285,brownish,middle-center,scaly,well illuminated,"An brownish scaly lesion located at the middle-center, well illuminated."
ISIC_0026451,59,0,600,450,light,middle-center,smooth,slightly shadowed,"A smooth lesion appears at the middle-center, exhibiting light pigmentation, slightly shadowed."
ISIC_0026460,103,15,432,321,light,middle-center,flat,slightly shadowed,"A light lesion with flat surface appears at the middle-center, slightly shadowed."
ISIC_0026468,0,0,600,450,light,middle-center,rough,under dim light,"The lesion, light and rough, is located toward the middle-center, under dim light."
ISIC_0026471,0,0,600,450,light,middle-center,flat,in natural lighting,"The middle-center area reveals a flat light patch, in natural lighting."
ISIC_0026475,189,85,401,328,light,middle-center,rough,under dim light,"A rough lesion with light tone is seen around the middle-center, under dim light."
ISIC_0026480,59,70,531,376,brownish,middle-center,irregular,moderately lit,"The lesion, brownish and irregular, is located toward the middle-center, moderately lit."
ISIC_0026482,110,108,463,317,brownish,middle-center,scaly,moderately lit,"The middle-center region contains a brownish scaly pigmentation, moderately lit."
ISIC_0026486,135,200,335,335,brownish,middle-center,bumpy,moderately lit,"The middle-center region contains a brownish bumpy pigmentation, moderately lit."
ISIC_0026496,0,0,396,407,light,middle-left,rough,under bright light,"The lesion at the middle-left looks rough and light, under bright light."
ISIC_0026515,211,41,428,375,light,middle-center,rough,under bright light,"The lesion at the middle-center looks rough and light, under bright light."
ISIC_0026527,71,138,536,350,light,middle-center,smooth,in natural lighting,"Located near the middle-center, a light smooth lesion is seen, in natural lighting."
ISIC_0026541,251,154,373,284,brownish,middle-center,rough,under bright light,"A brownish lesion located at the middle-center, with rough texture and under bright light."
ISIC_0026557,59,60,451,433,light,middle-center,irregular,under dim light,"The middle-center region contains a light irregular pigmentation, under dim light."
ISIC_0026568,169,94,381,280,light,middle-center,rough,moderately lit,"An light rough lesion located at the middle-center, moderately lit."
ISIC_0026573,425,0,600,450,brownish,middle-right,smooth,in natural lighting,"At the middle-right of the image lies a smooth, brownish lesion, in natural lighting."
ISIC_0026594,110,0,555,372,light,middle-center,scaly,slightly shadowed,"A scaly lesion appears at the middle-center, exhibiting light pigmentation, slightly shadowed."
ISIC_0026597,0,27,600,446,light,middle-center,scaly,under bright light,"The lesion at the middle-center looks scaly and light, under bright light."
ISIC_0026599,0,0,454,450,light,middle-center,flat,in natural lighting,"A light lesion located at the middle-center, with flat texture and in natural lighting."
ISIC_0026617,0,62,526,343,light,middle-center,smooth,well illuminated,"The middle-center region displays a smooth, light mark, well illuminated."
ISIC_0026642,0,5,600,450,light,middle-center,scaly,under bright light,"The lesion at the middle-center looks scaly and light, under bright light."
ISIC_0026654,29,121,271,376,light,middle-left,rough,slightly shadowed,"The lesion at the middle-left looks rough and light, slightly shadowed."
ISIC_0026666,105,54,526,383,light,middle-center,smooth,in natural lighting,"The middle-center area reveals a smooth light patch, in natural lighting."
ISIC_0026674,234,165,367,310,light,middle-center,bumpy,under bright light,"A light bumpy spot positioned at the middle-center, under bright light."
ISIC_0026683,47,30,540,416,brownish,middle-center,smooth,moderately lit,"The lesion at the middle-center looks smooth and brownish, moderately lit."
ISIC_0026690,97,60,524,400,light,middle-center,smooth,moderately lit,"A smooth lesion appears at the middle-center, exhibiting light pigmentation, moderately lit."
ISIC_0026723,123,36,477,343,brownish,middle-center,smooth,slightly shadowed,"The middle-center region contains a brownish smooth pigmentation, slightly shadowed."
ISIC_0026739,58,32,490,405,light,middle-center,flat,slightly shadowed,"A flat lesion with light tone is seen around the middle-center, slightly shadowed."
ISIC_0026744,126,0,459,428,light,middle-center,grainy,moderately lit,"A light grainy spot positioned at the middle-center, moderately lit."
ISIC_0026755,87,0,309,423,light,middle-left,grainy,under bright light,"The middle-left region displays a grainy, light mark, under bright light."
ISIC_0026771,195,172,402,370,brownish,middle-center,scaly,moderately lit,"A scaly lesion with brownish tone is seen around the middle-center, moderately lit."
ISIC_0026779,126,38,408,446,brownish,middle-center,rough,well illuminated,"A rough and brownish lesion is observed at the middle-center, well illuminated."
ISIC_0026798,0,0,600,450,light,middle-center,rough,well illuminated,"At the middle-center of the image lies a rough, light lesion, well illuminated."
ISIC_0026810,156,145,409,321,brownish,middle-center,bumpy,under bright light,"A bumpy and brownish lesion is observed at the middle-center, under bright light."
ISIC_0026815,180,0,382,232,pale,top-center,smooth,under bright light,"The top-center region displays a smooth, pale mark, under bright light."
ISIC_0026873,128,63,397,442,light,middle-center,scaly,under bright light,"A scaly lesion with light tone is seen around the middle-center, under bright light."
ISIC_0026876,64,115,470,352,light,middle-center,rough,under bright light,"The lesion, light and rough, is located toward the middle-center, under bright light."
ISIC_0026924,88,82,462,402,light,middle-center,bumpy,in natural lighting,"The middle-center region contains a light bumpy pigmentation, in natural lighting."
ISIC_0026927,391,0,600,450,light,middle-right,flat,well illuminated,"A flat lesion appears at the middle-right, exhibiting light pigmentation, well illuminated."
ISIC_0026941,220,39,442,335,light,middle-center,rough,under dim light,"A rough lesion appears at the middle-center, exhibiting light pigmentation, under dim light."
